[enu default]
SCEN3LINE11= "Her gospel is Validation itself. It is a mystery dispersing\naltogether, like the moon's feigned facade, with even one\nstone of absolution cast into its oceans. It is the most\nprofane gospel of all.";
SCEN3LINE12= "\"It is easy to hate and it is difficult to love. This is how the\nwhole scheme of things works.\"\n\n-Hotei";
SCEN3LINE13= "Yes, you are positive Hotei said that.";
SCEN3LINE14= "One hundred percent positive.";
SCEN3LINE15= "You have a feeling it's going to be a long day.";
SCEN3LINE16= "Hopefully, this mail carrier has delivered the RIGHT PACKAGE,\nthe one you've been waiting for ALL DAY.\n\nYou have no idea why they have separate people for this.";
SCEN3LINE17= "> Byakuren: Retrieve package. Again!";
//Examine TIGER DOLL
SCEN3LINE18= "It smells like beer. Being celibate, you totally abhor any\nsort of drinking and this type of stuff would usually bother\nyou, but you make a special exception for this...";
//Get the Second Package
SCEN3LINE19= "It looks like your package has finally arrived. This time, it's\nfrom THE RIGHT SENDER.\n\nYou're so excited, you're 'bout to blow your shit right here.";
SCEN3LINE20= "> Byakuren: Captchalogue package.";
SCEN3LINE21= "> Byakuren: Return to room.";
SCEN3LINE22= "Go to your room so you can open it!\n\nHopefully, it's not another TIGER DOLL.";
//Try the door
SCEN3LINE23= "This leads outdoors. No reason to go out there yet.";
//Open that PACKAGE, you little shit!
SCEN3LINE24= "> Byakuren: Open package.";
SCEN3LINE25= "You are ready to open this package since you know for sure\nthat this is the right one and will not contain any other\ntiger dolls.";
SCEN3LINE26= "You finally got it, your \c[DarkGrey]SKI\c[Grey]MA\c- CDs, or whatever it says on\nthe covers. The package contains your SERVER and CLIENT\nCOPIES. You've been waiting weeks for this.";
SCEN3LINE26a= "You finally got it, your SKIMA CDs, or whatever it says on the covers. The package contains your SERVER and CLIENT COPIES. You've been waiting weeks for this.";
SCEN3LINE27= "> Byakuren: Read attached note.";
SCEN3LINE28= "The note on the box just says:\n\"\c[Nazrin]Thanks for the payment last week. From Nazrin.\c-\"\n\nSo poetic, it almost makes you want to cry.";
SCEN3LINE28a= "The note on the box just says: \"Thanks for the payment last week. From Nazrin.\" So poetic, it almost makes you want to cry.";
SCEN3LINE29= "> Byakuren: Captchalogue CDs.";
SCEN3LINE30= "> Byakuren: Test the game out.";
SCEN3LINE31= "Now that it's here, you figure it's time to test it out to see\nif it even works.";
SCEN3LINE32= "> Byakuren: Take note of beeping.";
SCEN3LINE33= "Welp, you were busy but you guess you have to answer\nwhoever that is, out of politeness. Besides, the game can\nwait. You didn't plan on launching first anyway.";
//Consult Computer
SCEN3LINE34a= "You should probably pick up that package before preaching\nto your friends.";
SCEN3LINE34= "> Byakuren: Answer the nuisance.";
SCEN3LINE35= "\c[Nue]heianBurden [HB]\c-\n\nstarted preaching to\n\n\c[Hijiri]virtuousBlossom [VB]\c-";
SCEN3LINE35a= "heianBurden [HB] started preaching to virtuousBlossom [VB]";
//Nue_1
SCEN3LINE36= "HB: hey uh... hijiri.";
//Byak_1
SCEN3LINE37= "VB: What is it? Is something wrong with\nyour copies? Or did you not receive\nthem yet?";
//Nue_4
SCEN3LINE38= "HB: i was kind offf wonderiiing if my\nfriend could join in?";
//Byak_1
SCEN3LINE39= "VB: Join in what? The game?";
//Nue_6
SCEN3LINE40= "HB: yeah. i mean, like, she already has\nher own copy and stuff.";
//Byak_6
SCEN3LINE41= "VB: How? Did Nazrin give it to her? And\nhow in the world did you do that so\nearly?";
//Nue_4
SCEN3LINE42= "HB: i kind of sent her a rip of my files.";
//Nue_6
SCEN3LINE43= "HB: and i don't know, mail just gets sent\nhere pretty fast. i don't have regular\nmail carriers around here, mind you.";
//Byak_6
SCEN3LINE44= "VB: Why are you asking now? Oh, no, I\nunderstand. I guess it's a little too late\nfor me to tell you that we already had\nteams set up, right?";
//Byak_5
SCEN3LINE45= "VB: We have to let her play now since\nshe's already gotten a hold of the files\nand has knowledge of the things we're\ngoing to do.";
//Nue_4
SCEN3LINE46= "HB: i'm sorry...?";
//Byak_5
SCEN3LINE47= "VB: Actually, you know, what? It's fine,\nHoujuu, it really is. Just tell her she has\nto serve first as compensation.";
//Nue_6
SCEN3LINE48= "HB: so she can join in?";
//Byak_5
SCEN3LINE49= "VB: Well, yes, you already gave it to her\nand everything. I have to consult the\nother team about it though. It's going\nto be a hassle but I don't mind, really.";
//Byak_1
SCEN3LINE50= "VB: Just don't send anymore copies to\nothers, okay? You're already taking up\nenough space as it is, sad to say.";
//Nue_1
SCEN3LINE51= "HB: i promise i wont.";
//Nue_4
SCEN3LINE52= "HB: thanks, though.";
SCEN3LINE53= "HB: and uh, im sorry, i guess.";
SCEN3LINE54= "\c[Hijiri]virtuousBlossom [VB]\c-\n\nceased preaching to\n\n\c[Nue]heianBurden [HB]\c-";
SCEN3LINE54a= "virtuousBlossom [VB] ceased preaching to heianBurden [HB]";

//Back to Nue's Ugly Face
SCEN3LINE55= "> Nue: Realize how scary that was.";
SCEN3LINE56= "You are Nue and you have always been aware of how\nintimidating Byakuren can be. It seems to be a trait of hers,\nthough you know she's rather easy to forgive, so you try\nnot to dwell on the subject too much.";
SCEN3LINE57= "You have some celebrating to do, after all. You got her to\napprove your request. In hindsight, you should have done\nthis earlier, but you were too busy being nagged by\neveryone else, so you didn't have the time to.";
SCEN3LINE58= "> Nue: Answer not-a-stoner friend.";
SCEN3LINE59= "\c[Mamz]ballsyHellraiser [BH]\c-\n\nstarted badgering\n\n\c[Nue]heianBurden [HB]\c-";
SCEN3LINE59a= "ballsyHellraiser [BH] started badgering heianBurden [HB]";
//Mamz_1
SCEN3LINE60= "BH: howdy nue howd it go";
//Mamz_1
SCEN3LINE61= "BH: i mean like this whole game thing\nthat youre makin me play";
//Mamz_2
SCEN3LINE62= "BH: im honestly ok if they said no, ill just\ncheer you on from the sides if thatd be\nthe case haha";
//Nue_1
SCEN3LINE63= "HB: no no, she said yes, like she's okay\nwith letting you play.";
//Mamz_3
SCEN3LINE64= "BH: oh for real";
//Nue_6
SCEN3LINE65= "HB: yeah, but, you have to serve first!\nthat's what she said.";
//Mamz_1
SCEN3LINE66= "BH: its okay im fine with that";
//Nue_3
SCEN3LINE67= "HB: well, at least i won't be alone with a\nbunch of dweebs!!";
//Mamz_2
SCEN3LINE68= "BH: haha for sure im kinda just glad i\ndont have to cancel the torrent then\ncuz i kinda waited a while for it";
//Mamz_1
SCEN3LINE69= "BH: i mean it finished and its right here\nand im starin at it";
//Mamz_2
SCEN3LINE70= "BH: this is a huge file like bonkers huge\nand whatever";
//Nue_4
SCEN3LINE71= "HB: does it work? i mean, nazrin said it\nshouldn't work but... oh crap, if it\ndoesn't then i'm gonna have to tell hijiri\nto not tell the other team... i'm stupid\nsorry.";
//Mamz_1
SCEN3LINE72= "BH: its fine, i mean it works just fine";
//Nue_1
SCEN3LINE73= "HB: what really?";
//Mamz_2
SCEN3LINE74= "BH: yeah thats why i told you not to\nworry so much hahaha";
//Nue_2
SCEN3LINE75= "HB: wait hold on i want to rub this in\nnazrin's stupid face.";
//Mamz_6
SCEN3LINE76= "BH: who's this nazrin you keep mentionin?\nare they giving you trouble or anythin like\nthat?";
//Nue_6
SCEN3LINE77= "HB: sortaaa, she goes by HH and always\nkinda ego-trips whenever she opens her\nmouth. and she gets mad easily too... so\nit's kinda hard talking to her sometimes.";
//Mamz_3
SCEN3LINE78= "BH: ohh ahaha good luck with them then\nyea, they sound like someone who needs\nto be taken down a peg or two";
//Nue_3
SCEN3LINE79= "HB: haha, thank you...";
SCEN3LINE80= "\c[Nue]heianBurden [HB]\c-\n\nceased preaching to\n\n\c[Mamz]ballsyHellraiser [BH]\c-";
SCEN3LINE80a= "heianBurden [HB] ceased preaching to ballsyHellraiser [BH]";
SCEN3LINE81= "> Nue: Brag to Nazrin.";
SCEN3LINE82= "\c[Nue]heianBurden [HB]\c-\n\nstarted preaching to\n\n\c[Nazrin]hungryHoarder [HH]\c-";
SCEN3LINE82a= "heianBurden [HB] started preaching to hungryHoarder [HH]";
//Nue_3
SCEN3LINE83= "HB: hey, naz.";
//Naz_1
SCEN3LINE84= "HH: What do you want from me?";
//Nue_2
SCEN3LINE85= "HB: it worked, by the way. the torrent?\nthe pirating? it worked.";
//Naz_2
SCEN3LINE86= "HH: Ha, yeah right. I put anti-piracy\nblockade on that thing. Like hell anyone\ncould break through that. I don't\nbelieve you.";
//Nue_2
SCEN3LINE87= "HB: well you must have messed up\nsomewhere because it's working for\nher. i guess you're not as smart as you\nthink you are.";
//Naz_1
SCEN3LINE88= "HH: Bull. You're lying.";
SCEN3LINE89= "HH: Wait.";
//Naz_7
SCEN3LINE90= "HH: Damn it, I knew it did something! It\nmust've been the stupid crow thing!";
//Nue_1
SCEN3LINE91= "HB: the crow?";
//Naz_3
SCEN3LINE92= "HH: No no, you know, you're right, Nue! I\nguess I just forgot to put the\nanti-piracy thing on your copy, that's\nall! Heh heh heh! It's no big deal!";
SCEN3LINE93= "HH: Just, crows, man, I was just looking\noutside my window, that's all. Yeah,\nthere's a lot of them tonight.";
//Nue_5
SCEN3LINE94= "HB: oh SHIT the CROW.";
//Naz_1
SCEN3LINE95= "HH: Geez, no need to be so sarcastic.\nNow you're making fun of me by\nrepeating what I just said? It's only\ncool when BV does it, so don't swag\nsteal, Houjuu.";
//Nue_5
SCEN3LINE96= "HB: ok i gotta go seriously.";
SCEN3LINE97= "\c[Nue]heianBurden [HB]\c-\n\nceased preaching to\n\n\c[Nazrin]hungryHoarder [HH]\c-";
SCEN3LINE97a= "heianBurden [HB] ceased preaching to hungryHoarder [HH]";
SCEN3LINE98= "> Nue: Fetch laptop.";
SCEN3LINE99= "> Be the shady newcomer.";

//Time to smoke some dubies with Mamz
SCEN3LINE100= "You are now the 13th player.\n\nThe new kid on the block.";
SCEN3LINE101= "Don't be rude, put down that computer and introduce\nyourself properly. You don't want to be called something\nlike DOGBREATH DEVILBEAST, do you? Take out your NAMETAG,\ndude.";
SCEN3LINE102= "MAMIZOU FUTATSUIWA";
SCEN3LINE103= "> Be Mamizou.";
SCEN3LINE104= "Your name is MAMIZOU. You GREATLY OPPOSE what is\nconsidered SOCIETAL NORMS these days. Your hobbies\ninvolve STEALING FROM THE RICH and GIVING AWAY THE SPOILS\nto the less fortunate.";
SCEN3LINE105= "Nothing gets your rocks harder than HELPING OTHERS as an\ninsult to said SOCIETAL NORMS. You're the go-to-guy for the\nneedy. You like to partake in any sort of GANG ACTIVITY so\nlong as its done with GOOD INTENT.";
SCEN3LINE106= "From time to time, you indulge in ROLEPLAYING with your\nfriend as a means to teach yourself to TAKE ON IDENTITIES\nfor whenever you go out PRANKING. You keep WILD 'COON DOGS\nin your home out of the GOODNESS OF YOUR HEART.";
SCEN3LINE107= "You go by the badgerhandle \c[Mamz]ballsyHellraiser\c-.\n\nYou're on a different messenger, since it's easier to use\nand has the ability to disguise itself as other chat\nprograms.";
SCEN3LINE107a= "You go by the badgerhandle ballsyHellraiser. You're on a different messenger, since it's easier to use and has the ability to disguise itself as other chat programs.";
SCEN3LINE108= "All the while, you prefer \c[Mamz]talkin all laid back and stuff dawgg\c-";
SCEN3LINE108a= "All the while, you prefer talkin all laid back and stuff dawgg";
SCEN3LINE109= "Right now, you've just finished talking to your friend about\nsome stupid stuff you'd rather not get into right now\nbecause it's not important, okay? What is important is\nthat you got yourself a seat in on this game.";
SCEN3LINE110= "You think you can handle anyone as a client, or whatever\nthey referred to it as. You're one of the TOP 3 IN THE WORLD\nwhen it comes to MOST THINGS. Just gotta tell people to\ntrust you on that.";
SCEN3LINE111= "> Mamizou: Check computer.";
SCEN3LINE112= "Your files are unpacked and you're ready to put in a client's\nID at any time. Man, this is going to be mad sweet. You can't\nwait to do... the thing with the game... Your friend is\nimpressed that you got it to work and you're proud of that.";
SCEN3LINE113= "Maybe then you can convince them to boost that\nself-confidence a bit higher, and cheer up. Wait, you're\nrambling again. Counseling appointments run from 3 to 5 PM.\nIt's way too late for that. You decide to zip it for now.";
SCEN3LINE114= "> Mamizou: Answer stranger.";
SCEN3LINE115= "Oh, who's this? \"hungryHoarder\"? Oh, right.\n\nYou better answer them. Nue told you about this one.\nThey've got quite the temper.";
SCEN3LINE116= "\c[Nazrin]hungryHoarder [HH]\c-\n\nstarted preaching to\n\n\c[Mamz]ballsyHellraiser [BH]\c-";
SCEN3LINE116a= "hungryHoarder [HH] started preaching to ballsyHellraiser [BH]";
//Naz_1
SCEN3LINE117= "HH: Hey, you. Found you through Nue's\nlogs.";
//Mamz_1
SCEN3LINE118= "BH: oh sup";
//Mamz_6
SCEN3LINE119= "BH: and whyre you spyin on nue";
//Naz_1
SCEN3LINE120= "HH: Not your business and don't \"sup\"\nme. You're Nue's friend, right? The\nasshole that torrented my work?";
//Mamz_3
SCEN3LINE121= "BH: oh man you coded this, dude youve\ngot mad talent you know that";
//Naz_2
SCEN3LINE122= "HH: Well, yeah. I mean, I'm pretty great,\nyou know. I wish I got more thanks for\nwhat I do. I'm literally everyone's GOD\ndamned babysitter.";
//Naz_7
SCEN3LINE123= "HH: BUT ENOUGH OF THAT, you still stole my\nwork without paying for it!";
//Mamz_6
SCEN3LINE124= "BH: what? you were sellin these? my\nbad little dude i didnt know that, nue\njust sent them over";
//Naz_6
SCEN3LINE125= "HH: Well, I wasn't selling them but I still\nhad to pay a fee to send them over and\neveryone paid me for the guide that it\ncame with.";
//Mamz_2
SCEN3LINE126= "BH: awh man i cant let myself get away\nfor ruinin a fellow entrepreneurs own\nlil business, how about i pay you\nin-game?";
//Mamz_3
SCEN3LINE127= "BH: like a cut or somethin, i gotta admit\nyoure pretty darn smart for that\nmethod, makin them pay for the guide\nand all";
//Naz_1
SCEN3LINE128= "HH: ... Man, what the hell, why are you\nso nice and weird at the same time?\nExplains why you're friends with Houjuu.\nYou guys are both super weird. But, at\nleast you're agreeable with things.";
//Naz_3
SCEN3LINE129= "HH: But as I was saying, if you pay me my\n\"cut,\" I'll forget about this whole tirade\nand even mess with Hijiri for you, how's\nthat sound?";
//Mamz_2
SCEN3LINE130= "BH: alritey lil dude, so what do you\nwant, like 50-50 split? i honestly dont\ncare about monies or anything like that";
//Naz_1
SCEN3LINE131= "HH: I want 90-10, the 90 being for me.\nI did code the game, and you did initially\nsteal it. Consequences, \"dude.\"";
//Mamz_6
SCEN3LINE132= "BH: 90-10 what the heck?";
//Naz_1
SCEN3LINE133= "HH: I threw in the bonus with the\nHijiri-Hassling. That's gotta count for\nsomething.";
//Mamz_6
SCEN3LINE134= "BH: and this hijiri is who again?\n\nyou mean nues friend right?";
//Naz_1
SCEN3LINE135= "HH: Yes. The one who will probably not\ncare about your well-being or anybody\nelse's, for that matter. I'm letting you\nuse my services to annoy the shit out\nof her.";
//Mamz_2
SCEN3LINE136= "BH: ohhh haha like youre gonna prank\nher or somethin right? i can get behind\nthat";
//Naz_1
SCEN3LINE137= "HH: ... Yeah, okay.";
//Mamz_1
SCEN3LINE138= "BH: okay lil dude you got yourself a cut,\nsorry about the game stealin and all,\ni just didnt know prior to this that it\nwas your work and stuff";
//Naz_2
SCEN3LINE139= "HH: It's fine. If Hijiri starts bothering\nyou about this, just holler. I'll bug her\na bit and it'll be funny.";
//Mamz_2
SCEN3LINE140= "BH: haha alritey then";
//Naz_2
SCEN3LINE141= "HH: Good luck with the installation. It\nworks, right?";
//Mamz_1
SCEN3LINE142= "BH: yeah for sure i already told nue\nthat it worked and i reckon she told you";
//Naz_1
SCEN3LINE143= "HH: She did and then she bailed.\n\nAnyway, I've got another idiot friend to\ndeal with. I'll see you on the frontlines.";
//Mamz_1
SCEN3LINE144= "BH: hey i like your hat by the way";
//Naz_1
SCEN3LINE145= "HH: ...";
SCEN3LINE145a= "You're sharp.";
SCEN3LINE146= "\c[Nazrin]hungryHoarder [HH]\c-\n\nceased preaching to\n\n\c[Mamz]ballsyHellraiser [BH]\c-";
SCEN3LINE146a= "hungryHoarder [HH] ceased preaching to ballsyHellraiser [BH]";
SCEN3LINE147= "> Mamizou: Celebrate successful conversation.";
SCEN3LINE148= "Nice, you gained the trust of one more person!\n\n+1 CHARISMA.";
SCEN3LINE149= "> Mamizou: Let in whoever is outside.";
SCEN3LINE150= "Seems like you've got company.\n\nShow yourself, fiend!";
SCEN3LINE151= "Oh, it's just one of your many housemates. Seems like they\nneed you to do something for them. That's fine, you're\nalways willing to lend out a helping hand, even if this little\nmunchkin's just hungry or something.";
SCEN3LINE152= "Not like you speak their language or anything like that! But\nif you did, that would be pretty awesome, but we don't\nknow that either. It's not important. You didn't say\nanything. Who said anything about anything? Not you.";
SCEN3LINE153= "It's not anybody's business but yours. Unless they want to\nget in on this but then they'd have to make sure to sign a\nfew contracts concerning this pact. You'd totally pull out\npens and papers for this but you've got other things to do.";
SCEN3LINE154= "> Mamizou: Disallow player commands temporarily.";
SCEN3LINE155= "You can't be Mamizou because Mamizou doesn't want\nanybody else being Mamizou at the moment.";
SCEN3LINE156= "This one just ollie outied right outta your hands on their\nown accord. They totally ignored whatever you wanted to\ndo.\n\nSorry, friend. Go look for some other chump to be, yeah? ";
SCEN3LINE157= "So, while Nue gets her junk sorted out again, and Mamizou is\nmomentarily busy, try another player. Preferably someone\nwho's more COMPOSED and doesn't have a CREEPY ALBINO\nCROW THING following them around.";

////////////////////
// Scenario 2 //////
////////////////////
// Introduction
SCEN2LINE1= "Who's this douche bag?\n\nHey, PEEFART SMANGSTANK, show us your NAMETAG!";
SCEN2LINE2= "NUE HOUJUU";
SCEN2LINE3= "> Be Nue.";
SCEN2LINE4= "Your name is NUE. You are currently in the middle of a\nSHITTY TEMPLE due to PEER PRESSURE. You have a variety of\nstrange INTERESTS. You love dabbling in CRYPTID LORE and\nexploring GENETIC MUTATIONS.";
SCEN2LINE5= "You also enjoy ROLEPLAYING with your friend but you try to\nplay it off as BEING IRONIC due to your LOW SELF-ESTEEM. You\nare not too fond of SOCIAL NORMS and RULES. That stuff just\nisn't your style.";
SCEN2LINE6= "This is is why you've chosen to live in a very OBSCURE\nLOCATION. You have a penchant for PRANKS though it's\nrather hard to prank anyone when you live so far away\nfrom CIVILIZATION.";
SCEN2LINE7= "You go by the preachhandle: \c[Nue]heianBurden\c-.";
SCEN2LINE7a= "You go by the preachhandle: heianBurden.";
SCEN2LINE8= "You \c[Nue]kinda talk non-chalantly for the most part but can sort\n\c[Nue]OF be INSECURE sometimes YOU guess???!!!";
SCEN2LINE9= "You kinda talk non-chalantly for the most part but can sort OF be INSECURE sometimes YOU guess???!!!";
SCEN2LINE10= "At the moment, you've been instructed to visit the FROG\nTEMPLE near your home after hearing about its SECRETS\nfrom some of your so-called \"friends.\"";
SCEN2LINE11= "> Nue: Answer HH.";
SCEN2LINE12= "Alright, that's enough talk, someone's messaging you!";
SCEN2LINE13= "\c[Nazrin]hungryHoarder [HH]\cl\n\nstarted preaching to\n\n\c[Nue]heianBurden [HB]\cl";
SCEN2LINE13a= "hungryHoarder [HH] started preaching to heianBurden [HB]";
// Naz_5
SCEN2LINE14= "HH: Hey, Nue, what's taking you so long?\nI told you to check this place out hours\nago! You're testing my patience here!";
// Nue_5
SCEN2LINE15= "HB: aaaggghhh, seriously, i can't find the\nroom you're looking for, okay??? don't\ntry and pick a fight here of all places!!!";
// Naz_1
SCEN2LINE16= "HH: You're close, don't worry. I mean,\nlike, in terms of temperature, you're\nflaming hot. Or whatever the term is.\nSuper warm, like my hand is getting\nthird degree burns on the grill.";
// Wait 120
// Naz_6
SCEN2LINE17= "HH: I'm just saying you're seriously near\nthe room, Houjuu.";
// Wait 120
// Naz_5
SCEN2LINE18= "HH: NUE, YOU LITTLE TURDLET!";
SCEN2LINE19= "HH: ARE YOU PAYING ATTENTION? QUIT\nSPACING OUT!";
// Nue_4
SCEN2LINE20= "HB: oh, wow. okay, sorry.";
// Nue_6
SCEN2LINE21= "HB: i thought for a second there you\nwere hitting on me or something\nbecause that would be weird and i doubt\nyou'd really do that anyway so\nwhatever nevermind. still weird though.";
// Nue_2
SCEN2LINE22= "HB: like that'll ever happen.";
// Naz_5
SCEN2LINE23= "HH: WAIT WHAT?";
// Naz_7
SCEN2LINE24= "HH: SERIOUSLY? WHY WOULD YOU EVEN BE\nTHINKING OF THAT NOW? NUE, YOU KNOW STUFF\nLIKE THAT IS SUCH A PANDERY WASTE OF TIME.";
// Naz_6
SCEN2LINE25= "HH: GOD, just... please, rambling later,\nbusiness now! Priorities! I want you to\nwrite down the stuff on the walls.\nRemember, BB told us about it? Go get\nthem so we can decipher it later. ";
// Nue_6
SCEN2LINE26= "HB: uh so i just kinda jot it down or take\npictures of that stuff, right?";
// Naz_7
SCEN2LINE27= "HH: YES. FOR THE LAST TIME YES. HOLY SHIT\nARE YOU STUPID OR WHAT?";
// Naz_5
SCEN2LINE28= "HH: I mean, I know you've been living with\nnobody but dustmites and crows and\nwhatever but GOD DAMN, Nue! Common\nsense! I've been following you around for\n2 hours and I'm getting tired!";
// Nue_4
SCEN2LINE29= "HB: okay OKAY okay just quit being so\nFUCKIN IMPATIENT i just really don't like\nthis place, okay? i mean i can handle\nscary but this is just unnerving. it's\nalways different each time i'm here.";
// Naz_1
SCEN2LINE30= "HH: Says the scrub that can't stop\nsending everyone BMEzine shit. Pft,\ndon't even test me.";
// Naz_6
SCEN2LINE31= "HH: Just whatever, okay? Quit being such\na moron and just get this stuff done. I\nwould have gladly asked someone else but\nnobody lives close to this place but you.";
// Naz_1
SCEN2LINE32= "HH: Understand? This is a simple job.\nSorry for being so harsh, this is just\nsort of a big deal.";
// Nue_6
SCEN2LINE33= "HB: yeahhh okay...?";
// Naz_1
SCEN2LINE34= "HH: Good. Send me the code when you're\ndone. I'll credit you, I promise, okay?\nAnd BB, I guess, but I'm the one doing\nthe code conversion so I automatically\nget most of the cred.";
// Nue_6
SCEN2LINE35= "HB: whatever, i don't care.";
// Naz_1
SCEN2LINE36= "HH: Get to it. Watch out, though. She\ntold me this place would be full of traps.";
// Naz_2
SCEN2LINE37= "HH: Try not to die.";
// Naz_1
SCEN2LINE38= "HH: Seriously.";
SCEN2LINE39= "> Nue: Retrieve runes.";

// Tries to Leave 0
SCEN2LINE40a= "Where the hell are you going?\n\nYou haven't even started this arduous process yet!";

// Secret Skype Chat
SCEN2LINE40b= "There's a little bit of writing on this wall...\n\n\c[DarkGray][8:15:26 PM] stoneshipMapper: Mole-Ral gains the Secularity\n\c[DarkGray]Stone, and grants himself the knowledge of the\n\c[DarkGray]Renaissance!";
SCEN2LINE40c= "There's a little bit of writing on this wall... [8:15:26 PM] stoneshipMapper: Mole-Ral gains the Secularity Stone, and grants himself the knowledge of the Renaissance!";

// Tries to Leave 1
SCEN2LINE40= "Whoa, no wimping out now!\n\nYou gotta collect the CODE!";

// Tries to Leave Code Room
SCEN2LINE40d= "The codes are literally in this room. Why would you want to\ngo back where the traps are?";

// "Died" Many Times
// Naz_5
SCEN2LINE41= "HH: Why the hell are you just standing\nthere?! You've got shit to do!";
// Nue_6
SCEN2LINE42= "HB: i keep getting this creepy deja vu.";
SCEN2LINE43= "HB: like, i get creamed by one of the\ntraps and i'm just a bloody smear on the\nground, but then i wake up and i'm right\nhere, only to have it happen again.";
// Nue_4
SCEN2LINE44= "HB: what would you do if i actually got\nkilled here?";
// Naz_1
SCEN2LINE45= "HH: I'd bawl my fucking eyes out and put\na grave for you in my backyard.";
// Nue_6
SCEN2LINE46= "HB: what would it say?";
// Naz_6
SCEN2LINE47= "HH: \"Rest in Fucking Pieces, Nue.\" Now\nhurry up and get those codes.";
// Nue_4
SCEN2LINE48= "HB: okay, okay...";
// Naz_1
SCEN2LINE49= "HH: And don't die, Houjuu.";

// First Time with Codes
SCEN2LINE50a= "> Nue: Answer HH.";
// Nue_1
SCEN2LINE51a= "HB: alright, so i just write this down...?";
// Naz_3
SCEN2LINE52a= "HH: Congratulations! We're one step\ncloser to collecting the entire\ntreasure!";
// Naz_1
SCEN2LINE53a= "HH: By the way, if you had trouble with\nthe traps, I mean, if you haven't\nalready, you do realize you can SPRINT,\nright? I think you hold the SHIFT key for\nthat.";
// Naz_2
SCEN2LINE54a= "HH: But that's just if you suck that bad.";
// Nue_3
SCEN2LINE55a= "HB: heh.";
SCEN2LINE56a= "> Nue: Continue on.";

// Tries to Leave 2
SCEN2LINE57a= "You're still not done with collecting the CODE!\n\nKeep going. You can do it. I believe in you.";

// Second Time with Codes
SCEN2LINE50= "> Nue: Answer HH.";
// Nue_6
SCEN2LINE51= "HB: man, this is such a pain seriously.\nare we done yet??? you know how\nannoying it is grazing all those\ntraps???";
// Naz_2
SCEN2LINE52= "HH: Almost there. I can feel it. I'm\nsurprised that you haven't croaked\nyet.";
// Wait 120
// Nue_1
SCEN2LINE53= "HB: ...what???";
// Naz_1
SCEN2LINE54= "HH: It was a frog joke. Because we're at\nthe...\n\nNevermind, just keep going.";
SCEN2LINE55= "> Nue: Keep going.";

// Tries to Leave 3
SCEN2LINE56= "CODE collecting's still not done! Keep going!\n\nYou're almost there!";

// Frog Checkpoint
SCEN2LINE57= "> Nue: Check out frog.";
SCEN2LINE58= "Oh wow, you don't think you've seen a frog in ages! If you\ncould, you'd pry open this baby and poke around all up in\nthere, but now's not really the time to develop\nbatrachomania, huh?";
SCEN2LINE59= "Though, it looks like its is offering itself as a CHECKPOINT.\nGee, this would have been useful in the last few rooms. Or\nnot, you're not that much of a wimp that you need\nCHECKPOINTS all the time... you think.";

// Third Time with Codes
SCEN2LINE60= "> Nue: Answer HH. Again.";
// Nue_1
SCEN2LINE61= "HB: so umm, yeah, we're almost done\nhere, right? i'm sorry, this is just really\ntedious and annoying.";
// Naz_7
SCEN2LINE62= "HH: YES. MY GOD, QUIT COMPLAINING.";
// Nue_6
SCEN2LINE63= "HB: hey, chill, i was just asking...";
// Nue_7
SCEN2LINE64= "HB: control your temper, why don't\nyou?";
// Naz_7
SCEN2LINE65= "HH: MAN, IF ONLY I COULD HAVE DONE THIS WITH\nSOMEONE WHO DIDN'T ASK SO MANY QUESTIONS\nAND COMPLAIN ALL THE TIME.";
// Nue_5
SCEN2LINE66= "HB: i'm the one risking my ass and not\nyou, so quit being so pissy already! i'm\nDOING this AS fast AS i CAN!";
// Naz_2
SCEN2LINE67= "HH: Whoa, calm down, Houjuu! I'll chill.\n\nHeh heh heh.";
// Nue_1
SCEN2LINE68= "HB: what??? what's so funny???";
// Naz_3
SCEN2LINE69= "HH: Just thinking about how you'll do\nanything if I just yell at you a little,\nthat's kind of why I'm doing it. \"NUE GO\nJUMP THAT FENCE, YOU LITTLE NERD,\" and\nyou'll do it.";
// Naz_2
SCEN2LINE70= "HH: So funny. What a funny individual,\nthis Nue Houjuu is.";
// Nue_5
SCEN2LINE71= "HB: whatever!!! i would have done it if\nyou weren't being rude, you know!!!";
// Naz_3
SCEN2LINE72= "HH: Nah, I don't think so! You'd probably\nthink I was hitting on you just because\nI was being nice for two seconds! \"WOW\nTHEY SAID HI, THEY MUST LIKE ME!\"";
SCEN2LINE73= "HH: I mean, the thirst is almost\nunbearable here. I know I'm good-looking\nand all but I'm just here for the\ntreasure, dude. Sorry for being so\ndistracting!";
// Nue_5
SCEN2LINE74= "HB: what are you even going on about???\nyou really think i like you!!!??? i only did\nthis because hijiri told me to listen to\nyou!!!";
// Naz_3
SCEN2LINE75= "HH: Yeah, I mean, who doesn't like me?\nI've got everyone mackin' on me from\nleft to right. I'm like Treasure numero\nuno. Come on! Unfortunately, there isn't\nenough me to go around!";
// Nue_6
SCEN2LINE76= "HB: okay, now, you're just messing with\nme.";
// Naz_1
SCEN2LINE77= "HH: Yeah, I was, that was all bullshit.";
SCEN2LINE78= "HH: I'm pretty sure we'd get things\ndone faster if I just yelled at you\nconstantly instead of praising you for\nevery little thing you did. This isn't an\nasspat party.";
SCEN2LINE79= "HH: Grow up.";
// Nue_3
